ratio_count 1, ratio (0.000318, 2652.844784), density 29.018255, S/T 913/2
ratio_count 2, ratio (0.000341, 722.000000), density 29.018255, S/T 913/2
ratio_count 3, ratio (0.000341, 285.478911), density 29.425694, S/T 707/8
ratio_count 4, ratio (0.000350, 95.857143), density 29.472588, S/T 594/15
ratio_count 5, ratio (0.000352, 41.692308), density 29.938826, S/T 724/49
ratio_count 6, ratio (0.000363, 18.406250), density 30.390575, S/T 737/99
ratio_count 7, ratio (0.000374, 9.128571), density 31.344893, S/T 554/147
ratio_count 8, ratio (0.000398, 3.878788), density 31.657555, S/T 421/210
ratio_count 9, ratio (0.000406, 1.876542), density 31.657555, S/T 421/210
ratio_count 10, ratio (0.000406, 0.855764), density 31.657555, S/T 421/210
ratio_count 11, ratio (0.000406, 0.352369), density 31.657555, S/T 421/210
ratio_count 12, ratio (0.000406, 0.141403), density 31.657555, S/T 421/210
ratio_count 13, ratio (0.000406, 0.049391), density 31.657555, S/T 421/210
ratio_count 14, ratio (0.000406, 0.016576), density 31.657555, S/T 421/210
ratio_count 15, ratio (0.000406, 0.006719), density 31.657555, S/T 421/210
ratio_count 16, ratio (0.000406, 0.002318), density 31.657555, S/T 421/210
ratio_count 17, ratio (0.000406, 0.001272), density 31.657555, S/T 421/210
ratio_count 18, ratio (0.001458, 0.002318), density 31.657555, S/T 421/210
ratio_count 19, ratio (0.001458, 0.001803), density 31.657555, S/T 421/210
ratio_count 20, ratio (0.001977, 0.002318), density 31.657555, S/T 421/210
ratio_count 21, ratio (0.005474, 0.006719), density 31.657555, S/T 421/210
ratio_count 22, ratio (0.010730, 0.016576), density 31.657555, S/T 421/210
ratio_count 23, ratio (0.010730, 0.012987), density 31.657555, S/T 421/210
ratio_count 24, ratio (0.010730, 0.011742), density 31.657555, S/T 421/210
ratio_count 25, ratio (0.011976, 0.012987), density 31.657555, S/T 421/210
ratio_count 26, ratio (0.014353, 0.016576), density 31.657555, S/T 421/210
ratio_count 27, ratio (0.014353, 0.014658), density 31.657555, S/T 421/210
ratio_count 28, ratio (0.016316, 0.016576), density 31.657555, S/T 421/210
ratio_count 29, ratio (0.037397, 0.049391), density 31.657555, S/T 421/210
ratio_count 30, ratio (0.101790, 0.141403), density 31.657555, S/T 421/210
ratio_count 31, ratio (0.220026, 0.352369), density 31.657555, S/T 421/210
ratio_count 32, ratio (0.520070, 0.855764), density 31.657555, S/T 421/210
ratio_count 33, ratio (0.520070, 0.595616), density 31.657555, S/T 421/210
ratio_count 34, ratio (0.794521, 0.855764), density 31.657555, S/T 421/210
ratio_count 35, ratio (1.029178, 1.876542), density 31.657555, S/T 421/210
ratio_count 36, ratio (1.029178, 1.434386), density 31.657555, S/T 421/210
ratio_count 37, ratio (1.029178, 1.201487), density 31.657555, S/T 421/210
ratio_count 38, ratio (1.262840, 1.434386), density 31.657555, S/T 421/210
ratio_count 39, ratio (1.262840, 1.289955), density 31.657555, S/T 421/210
ratio_count 40, ratio (1.409938, 1.434386), density 31.657555, S/T 421/210
ratio_count 41, ratio (1.409938, 1.412571), density 31.657555, S/T 421/210
ratio_count 42, ratio (1.431818, 1.434386), density 31.657555, S/T 421/210
ratio_count 43, ratio (1.471572, 1.876542), density 31.657555, S/T 421/210
ratio_count 44, ratio (1.471572, 1.631195), density 31.657555, S/T 421/210
ratio_count 45, ratio (1.718045, 1.876542), density 31.657555, S/T 421/210
ratio_count 46, ratio (2.004762, 3.878788), density 31.657555, S/T 421/210
ratio_count 47, ratio (2.004762, 2.629834), density 31.681085, S/T 453/195
ratio_count 48, ratio (2.004762, 2.311534), density 31.681085, S/T 453/195
ratio_count 49, ratio (2.004762, 2.051807), density 31.681085, S/T 453/195
ratio_count 50, ratio (2.004762, 2.014218), density 31.681085, S/T 453/195
